Well,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,A292,Parallel,Perpendicular,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Total F,Polarization,A292 norm
G3,1,4,Yes,methyl,55,35,224,54,36,206,56,36,215,0.341,1.958333333,7.375,1,4,True,methyl,9.3,-580.4,0.001
G5,1,4,Yes,methyl,48,30,237,63,37,262,61,36,255,0.35,4.291666667,6.041666667,1,4,True,methyl,10.3,-169.4,0.01
G7,1,4,Yes,methyl,81,51,230,80,46,269,81,46,275,0.324,27.625,19.375,1,4,True,methyl,47,175.5,-0.016
A2,0,4,Yes,new,3839,3739,13,3845,3722,16,3800,3684,15,0.342,3804.583333,3700,0,4,True,new,7504.6,13.9,0
A4,0,4,Yes,new,4012,3878,17,4012,3887,16,3997,3868,16,0.354,3983.583333,3862.666667,0,4,True,new,7846.3,15.4,0.012
A6,0,4,Yes,new,3821,3692,17,3839,3708,17,3825,3700,17,0.345,3804.916667,3685,0,4,True,new,7489.9,16,0.003
A8,0,4,Yes,new,3875,3732,19,3878,3740,18,3881,3747,18,0.344,3854.583333,3724.666667,0,4,True,new,7579.3,17.1,0.002
C2,0,4,Yes,new,3568,3469,14,3538,3430,15,3520,3412,16,0.339,3518.583333,3422,0,4,True,new,6940.6,13.9,-0.003
C4,0,4,Yes,new,3768,3651,16,3753,3643,15,3735,3628,15,0.347,3728.583333,3625.666667,0,4,True,new,7354.3,14,0.005
C6,0,4,Yes,new,3724,3605,16,3706,3578,18,3716,3596,16,0.345,3691.916667,3578,0,4,True,new,7269.9,15.7,0.003
C8,0,4,Yes,new,3694,3566,18,3656,3541,16,3657,3537,17,0.333,3645.583333,3533,0,4,True,new,7178.6,15.7,-0.009
I2,0.1,4,Yes,new,3754,3637,16,3724,3612,15,3696,3584,15,0.33,3689.416667,3590.666667,0.1,4,True,new,7280.1,13.6,-0.012
I4,0.1,4,Yes,new,3715,3605,15,3686,3574,15,3675,3560,16,0.332,3656.75,3559.333333,0.1,4,True,new,7216.1,13.5,-0.01
I6,0.1,4,Yes,new,3645,3518,18,3629,3501,18,3602,3489,16,0.349,3590.083333,3482.333333,0.1,4,True,new,7072.4,15.2,0.007
I8,0.1,4,Yes,new,3584,3458,18,3562,3435,18,3533,3414,17,0.339,3524.416667,3415.333333,0.1,4,True,new,6939.8,15.7,-0.003
K2,0.1,4,Yes,new,3675,3578,13,3665,3553,15,3654,3547,15,0.336,3629.416667,3539,0.1,4,True,new,7168.4,12.6,-0.006
K4,0.1,4,Yes,new,3750,3653,13,3737,3618,16,3704,3587,16,0.342,3695.083333,3599,0.1,4,True,new,7294.1,13.2,0
K6,0.1,4,Yes,new,3602,3496,15,3622,3510,16,3598,3489,15,0.354,3572.083333,3478,0.1,4,True,new,7050.1,13.3,0.012
K8,0.1,4,Yes,new,3510,3370,20,3502,3363,20,3502,3356,21,0.34,3469.416667,3342.666667,0.1,4,True,new,6812.1,18.6,-0.002
E2,1,4,Yes,new,3625,3520,15,3592,3475,17,3558,3435,18,0.317,3538.625,3448.375,1,4,True,new,6987,12.9,-0.025
E4,1,4,Yes,new,3709,3588,17,3668,3551,16,3627,3514,16,0.353,3614.958333,3522.708333,1,4,True,new,7137.7,12.9,0.011
E6,1,4,Yes,new,3531,3410,17,3475,3353,18,3457,3335,18,0.337,3434.625,3337.708333,1,4,True,new,6772.3,14.3,-0.005
E8,1,4,Yes,new,3617,3485,19,3576,3461,16,3554,3426,18,0.34,3529.291667,3429.041667,1,4,True,new,6958.3,14.4,-0.002
G2,1,4,Yes,new,3781,3680,14,3729,3600,18,3676,3556,17,0.331,3675.625,3583.708333,1,4,True,new,7259.3,12.7,-0.011
G4,1,4,Yes,new,3889,3766,16,3858,3735,16,3829,3692,18,0.337,3805.625,3702.708333,1,4,True,new,7508.3,13.7,-0.005
G6,1,4,Yes,new,3661,3518,20,3617,3476,20,3583,3451,19,0.335,3567.291667,3453.375,1,4,True,new,7020.7,16.2,-0.007
G8,1,4,Yes,new,3763,3628,18,3698,3570,18,3681,3542,19,0.319,3660.958333,3551.708333,1,4,True,new,7212.7,15.1,-0.023
B2,0,4,Yes,none,26,15,264,25,17,187,25,15,246,0.059,1.916666667,0.666666667,0,4,True,none,2.6,483.9,-0.002
B4,0,4,Yes,none,24,18,131,24,16,187,24,20,81,0.059,0.583333333,3,0,4,True,none,3.6,-674.4,-0.002
B6,0,4,Yes,none,23,15,206,23,17,147,23,15,206,0.059,-0.416666667,0.666666667,0,4,True,none,0.2,-4333.3,-0.002
B8,0,4,Yes,none,24,14,269,23,14,227,23,16,166,0.059,-0.083333333,-0.333333333,0,4,True,none,-0.4,-600,-0.002
D2,0,4,Yes,none,23,13,272,23,14,227,23,16,166,0.06,-0.416666667,-0.666666667,0,4,True,none,-1.1,-230.8,-0.001
D4,0,4,Yes,none,22,14,228,23,14,249,23,14,227,0.059,-0.75,-1,0,4,True,none,-1.8,-142.9,-0.002
D6,0,4,Yes,none,23,14,227,23,13,272,23,16,186,0.06,-0.416666667,-0.666666667,0,4,True,none,-1.1,-230.8,-0.001
D8,0,4,Yes,none,23,13,296,23,14,249,23,13,296,0.059,-0.416666667,-1.666666667,0,4,True,none,-2.1,-600,-0.002
J2,0.1,4,Yes,none,30,19,222,33,17,317,31,16,307,0.059,-3.916666667,-3,0.1,4,True,none,-6.9,132.5,-0.002
J4,0.1,4,Yes,none,46,28,238,47,30,217,47,30,217,0.215,11.41666667,9,0.1,4,True,none,20.4,118.4,0.154
J6,0.1,4,Yes,none,34,21,235,32,17,303,33,19,267,0.06,-2.25,-1.333333333,0.1,4,True,none,-3.6,255.8,-0.001
J8,0.1,4,Yes,none,36,22,248,35,20,279,36,21,262,0.061,0.416666667,0.666666667,0.1,4,True,none,1.1,-230.8,0
L2,0.1,4,Yes,none,32,20,221,35,22,220,35,19,294,0.06,-1.25,0,0.1,4,True,none,-1.3,1000,-0.001
L4,0.1,4,Yes,none,40,20,325,39,21,299,41,21,321,0.06,4.75,0.333333333,0.1,4,True,none,5.1,868.9,-0.001
L6,0.1,4,Yes,none,32,17,303,30,17,274,31,19,238,0.061,-4.25,-2.666666667,0.1,4,True,none,-6.9,228.9,0
L8,0.1,4,Yes,none,30,18,256,30,18,256,31,16,325,0.061,-4.916666667,-3,0.1,4,True,none,-7.9,242.1,0
F2,1,4,Yes,none,57,30,306,57,30,306,58,31,304,0.063,4.291666667,2.041666667,1,4,True,none,6.3,355.3,0.002
F4,1,4,Yes,none,55,27,342,59,34,275,60,30,329,0.063,4.958333333,2.041666667,1,4,True,none,7,416.7,0.002
F6,1,4,Yes,none,60,31,320,60,30,329,62,33,307,0.062,7.625,3.041666667,1,4,True,none,10.7,429.7,0.001
F8,1,4,Yes,none,45,25,286,43,23,302,45,26,274,0.063,-8.708333333,-3.625,1,4,True,none,-12.3,412.2,0.002
H2,1,4,Yes,none,53,28,315,52,27,317,52,25,351,0.062,-0.708333333,-1.625,1,4,True,none,-2.3,-392.9,0.001
H4,1,4,Yes,none,66,36,292,69,37,304,68,36,305,0.062,14.625,8.041666667,1,4,True,none,22.7,290.4,0.001
H6,1,4,Yes,none,38,22,259,39,22,285,41,21,321,0.061,-13.70833333,-6.625,1,4,True,none,-20.3,348.4,0
H8,1,4,Yes,none,44,24,300,44,26,263,46,25,296,0.062,-8.375,-3.291666667,1,4,True,none,-11.7,435.7,0.001
B1,0,4,Yes,old,9404,9136,14,9507,9107,22,9510,9114,21,0.259,9450.25,9104,0,4,True,old,18554.3,18.7,-0.056
B3,0,4,Yes,old,12999,12403,23,12968,12323,26,12914,12291,25,0.314,12936.91667,12324,0,4,True,old,25260.9,24.3,-0.001
B5,0,4,Yes,old,13162,12530,25,13137,12493,25,13138,12500,25,0.321,13122.25,12492.66667,0,4,True,old,25614.9,24.6,0.006
B7,0,4,Yes,old,12906,12261,26,12885,12243,26,12849,12212,25,0.315,12856.58333,12223.66667,0,4,True,old,25080.3,25.2,0
D1,0,4,Yes,old,12762,12293,19,12823,12202,25,12773,12166,24,0.322,12762.58333,12205.33333,0,4,True,old,24967.9,22.3,0.007
D3,0,4,Yes,old,13381,12748,24,13295,12652,25,13191,12560,25,0.312,13265.58333,12638.33333,0,4,True,old,25903.9,24.2,-0.003
D5,0,4,Yes,old,13272,12628,25,13244,12601,25,13184,12549,25,0.311,13209.91667,12577.66667,0,4,True,old,25787.6,24.5,-0.004
D7,0,4,Yes,old,12112,11529,25,12025,11470,24,11989,11435,24,0.326,12018.58333,11463,0,4,True,old,23481.6,23.7,0.011
J1,0.1,4,Yes,old,12444,11903,22,12419,11805,25,12273,11666,25,0.321,12343.41667,11771,0.1,4,True,old,24114.4,23.7,0.006
J3,0.1,4,Yes,old,12600,12010,24,12492,11926,23,12352,11783,24,0.314,12446.08333,11886,0.1,4,True,old,24332.1,23,-0.001
J5,0.1,4,Yes,old,12635,12033,24,12497,11906,24,12421,11845,24,0.349,12482.41667,11907.66667,0.1,4,True,old,24390.1,23.6,0.034
J7,0.1,4,Yes,old,11944,11328,26,11835,11256,25,11804,11240,24,0.327,11825.75,11254.33333,0.1,4,True,old,23080.1,24.8,0.012
L1,0.1,4,Yes,old,12338,11822,21,12229,11635,25,12063,11491,24,0.317,12174.75,11629,0.1,4,True,old,23803.8,22.9,0.002
L3,0.1,4,Yes,old,12388,11841,23,12370,11805,23,12333,11758,24,0.321,12328.41667,11781,0.1,4,True,old,24109.4,22.7,0.006
L5,0.1,4,Yes,old,12316,11743,24,12301,11726,24,12245,11678,24,0.321,12252.08333,11695.33333,0.1,4,True,old,23947.4,23.2,0.006
L7,0.1,4,Yes,old,11514,10954,25,11422,10891,24,11417,10883,24,0.33,11415.75,10889,0.1,4,True,old,22304.8,23.6,0.015
F1,1,4,Yes,old,12096,11621,20,12085,11500,25,11929,11361,24,0.286,11983.625,11465.70833,1,4,True,old,23449.3,22.1,-0.029
F3,1,4,Yes,old,12482,11937,22,12374,11798,24,12222,11653,24,0.312,12306.29167,11767.70833,1,4,True,old,24074,22.4,-0.003
F5,1,4,Yes,old,12261,11667,25,12037,11473,24,11915,11352,24,0.313,12017.95833,11469.04167,1,4,True,old,23487,23.4,-0.002
F7,1,4,Yes,old,11929,11342,25,11786,11214,25,11737,11161,25,0.323,11764.29167,11210.70833,1,4,True,old,22975,24.1,0.008
H1,1,4,Yes,old,12281,11783,21,12207,11620,25,12048,11468,25,0.31,12125.625,11595.375,1,4,True,old,23721,22.4,-0.005
H3,1,4,Yes,old,13319,12680,25,13172,12528,25,12985,12390,23,0.306,13105.625,12504.375,1,4,True,old,25610,23.5,-0.009
H5,1,4,Yes,old,12908,12304,24,12801,12197,24,12631,12039,24,0.306,12726.95833,12151.70833,1,4,True,old,24878.7,23.1,-0.009
H7,1,4,Yes,old,12230,11632,25,12033,11476,24,11971,11414,24,0.296,12024.95833,11479.04167,1,4,True,old,23504,23.2,-0.019
A21,0,7.4,Yes,methyl,1899,1871,8,1907,1871,10,1887,1862,7,1.436,1865.25,1843.5,0,7.4,True,methyl,3708.8,5.9,1.24
A23,0,7.4,Yes,methyl,1878,1846,9,1880,1856,6,1871,1846,7,1.448,1843.916667,1824.833333,0,7.4,True,methyl,3668.8,5.2,1.252
C21,0,7.4,Yes,methyl,1696,1666,9,1702,1675,8,1711,1688,7,1.41,1670.583333,1651.833333,0,7.4,True,methyl,3322.4,5.6,1.214
C23,0,7.4,Yes,methyl,1776,1749,8,1786,1750,10,1780,1753,8,1.427,1748.25,1726.166667,0,7.4,True,methyl,3474.4,6.4,1.231
I21,0.1,7.4,Yes,methyl,1669,1636,10,1676,1648,8,1681,1651,9,0.205,1608.416667,1588.916667,0.1,7.4,True,methyl,3197.3,6.1,0.009
I23,0.1,7.4,Yes,methyl,1751,1721,9,1756,1733,7,1772,1747,7,0.201,1692.75,1677.583333,0.1,7.4,True,methyl,3370.3,4.5,0.005
K21,0.1,7.4,Yes,methyl,1706,1675,9,1719,1691,8,1720,1690,9,0.201,1648.083333,1629.25,0.1,7.4,True,methyl,3277.3,5.7,0.005
K23,0.1,7.4,Yes,methyl,1812,1782,8,1815,1783,9,1812,1778,9,0.197,1746.083333,1724.916667,0.1,7.4,True,methyl,3471,6.1,0.001
E21,1,7.4,Yes,methyl,1705,1661,13,1721,1683,11,1723,1695,8,0.213,1676.833333,1650.583333,1,7.4,True,methyl,3327.4,7.9,0.017
E23,1,7.4,Yes,methyl,1752,1720,9,1761,1731,9,1761,1736,7,0.206,1718.5,1699.916667,1,7.4,True,methyl,3418.4,5.4,0.01
G21,1,7.4,Yes,methyl,1720,1681,11,1727,1691,11,1741,1701,12,0.211,1689.833333,1661.916667,1,7.4,True,methyl,3351.8,8.3,0.015
G23,1,7.4,Yes,methyl,1745,1715,9,1752,1723,8,1748,1721,8,0.201,1708.833333,1690.583333,1,7.4,True,methyl,3399.4,5.4,0.005
A22,0,7.4,Yes,new,4280,4123,19,4263,4103,19,4211,4066,17,1.561,4218.916667,4072.833333,0,7.4,True,new,8291.8,17.6,1.274
A24,0,7.4,Yes,new,4001,3863,18,4005,3860,18,4039,3899,18,1.586,3982.583333,3849.5,0,7.4,True,new,7832.1,17,1.299
C22,0,7.4,Yes,new,4098,3948,19,4089,3956,17,4102,3968,17,1.524,4063.916667,3932.833333,0,7.4,True,new,7996.8,16.4,1.237
C24,0,7.4,Yes,new,4017,3880,17,4013,3878,17,4018,3896,15,1.511,3983.583333,3860.166667,0,7.4,True,new,7843.8,15.7,1.224
I22,0.1,7.4,Yes,new,3673,3555,16,3679,3557,17,3687,3570,16,0.947,3612.75,3504.583333,0.1,7.4,True,new,7117.3,15.2,0.66
I24,0.1,7.4,Yes,new,3835,3685,20,3844,3703,19,3838,3695,19,0.968,3772.083333,3638.25,0.1,7.4,True,new,7410.3,18.1,0.681
K22,0.1,7.4,Yes,new,3833,3708,17,3827,3704,16,3856,3741,15,0.886,3771.75,3661.583333,0.1,7.4,True,new,7433.3,14.8,0.599
K24,0.1,7.4,Yes,new,3861,3746,15,3879,3775,14,3888,3780,14,0.913,3809.083333,3710.916667,0.1,7.4,True,new,7520,13.1,0.626
E22,1,7.4,Yes,new,4021,3864,20,4010,3867,18,4005,3854,19,0.306,3972.5,3832.583333,1,7.4,True,new,7805.1,17.9,0.019
E24,1,7.4,Yes,new,3887,3737,20,3869,3737,17,3875,3738,18,0.293,3837.5,3708.25,1,7.4,True,new,7545.8,17.1,0.006
G22,1,7.4,Yes,new,3960,3806,20,3972,3824,19,3975,3830,19,0.3,3929.5,3790.916667,1,7.4,True,new,7720.4,18,0.013
G24,1,7.4,Yes,new,3891,3753,18,3872,3736,18,3887,3757,17,0.303,3843.833333,3719.583333,1,7.4,True,new,7563.4,16.4,0.016
B22,0,7.4,Yes,none,33,19,267,33,24,164,32,24,136,1.296,0.25,-2.166666667,0,7.4,True,none,-1.9,-1260.9,1.235
B24,0,7.4,Yes,none,33,25,138,34,26,140,34,26,127,1.307,1.25,1.166666667,0,7.4,True,none,2.4,34.5,1.246
D22,0,7.4,Yes,none,32,26,110,32,27,85,31,26,94,1.252,-0.75,1.833333333,0,7.4,True,none,1.1,-2384.6,1.191
D24,0,7.4,Yes,none,31,24,120,32,23,163,32,24,136,1.265,-0.75,-0.833333333,0,7.4,True,none,-1.6,-52.6,1.204
J22,0.1,7.4,Yes,none,155,152,10,235,170,161,121,130,-34,0.061,103.4166667,94.58333333,0.1,7.4,True,none,198,44.6,0
J24,0.1,7.4,Yes,none,33,30,54,35,30,73,35,26,142,0.061,-32.58333333,-27.41666667,0.1,7.4,True,none,-60,86.1,0
L22,0.1,7.4,Yes,none,32,21,206,31,23,148,30,22,146,0.062,-35.91666667,-34.08333333,0.1,7.4,True,none,-70,26.2,0.001
L24,0.1,7.4,Yes,none,31,22,162,32,24,149,33,23,178,0.061,-34.91666667,-33.08333333,0.1,7.4,True,none,-68,27,0
F22,1,7.4,Yes,none,39,26,206,40,31,128,40,34,78,0.065,0.166666667,1.25,1,7.4,True,none,1.4,-764.7,0.004
F24,1,7.4,Yes,none,43,33,133,43,34,114,44,36,97,0.065,3.833333333,5.25,1,7.4,True,none,9.1,-156,0.004
H22,1,7.4,Yes,none,36,26,168,37,27,157,37,27,157,0.065,-2.833333333,-2.416666667,1,7.4,True,none,-5.3,79.4,0.004
H24,1,7.4,Yes,none,38,21,287,39,26,194,38,28,158,0.063,-1.166666667,-4.083333333,1,7.4,True,none,-5.3,-555.6,0.002
B21,0,7.4,Yes,old,13996,13215,29,13942,13174,28,13899,13161,27,1.514,13913.25,13158.83333,0,7.4,True,old,27072.1,27.9,1.242
B23,0,7.4,Yes,old,13955,13169,29,13787,13055,27,13878,13140,27,1.515,13840.91667,13096.83333,0,7.4,True,old,26937.8,27.6,1.243
D21,0,7.4,Yes,old,13171,12441,29,13261,12524,29,13232,12526,27,1.496,13188.91667,12472.5,0,7.4,True,old,25661.4,27.9,1.224
D23,0,7.4,Yes,old,14093,13346,27,14112,13367,27,14038,13301,27,1.497,14048.58333,13313.5,0,7.4,True,old,27362.1,26.9,1.225
J21,0.1,7.4,Yes,old,12827,12143,27,12901,12220,27,12887,12218,27,0.864,12804.75,12137.58333,0.1,7.4,True,old,24942.3,26.7,0.592
J23,0.1,7.4,Yes,old,13286,12559,28,13296,12623,26,13278,12583,27,0.887,13219.75,12532.25,0.1,7.4,True,old,25752,26.7,0.615
L21,0.1,7.4,Yes,old,11701,11083,27,11789,11151,28,11863,11244,27,0.866,11717.41667,11103.25,0.1,7.4,True,old,22820.7,26.9,0.594
L23,0.1,7.4,Yes,old,13152,12438,28,13233,12545,27,13231,12563,26,0.859,13138.41667,12459.25,0.1,7.4,True,old,25597.7,26.5,0.587
F21,1,7.4,Yes,old,12765,12065,28,12735,12080,26,12747,12062,28,0.291,12709.5,12039.91667,1,7.4,True,old,24749.4,27.1,0.019
F23,1,7.4,Yes,old,13108,12402,28,13081,12393,27,13049,12353,27,0.283,13039.83333,12353.58333,1,7.4,True,old,25393.4,27,0.011
H21,1,7.4,Yes,old,12781,12095,28,12796,12128,27,12813,12147,27,0.292,12757.16667,12094.25,1,7.4,True,old,24851.4,26.7,0.02
H23,1,7.4,Yes,old,13856,13105,28,13843,13117,27,13787,13070,27,0.272,13789.16667,13068.25,1,7.4,True,old,26857.4,26.8,0
M1,,,,,14,7,318,15,11,175,15,9,239,0.053,,,,,False,,,,
M10,,,,,15,9,274,14,11,142,15,9,239,0.054,,,,,False,,,,
M11,,,,,16,9,269,16,7,417,15,9,239,0.054,,,,,False,,,,
M12,,,,,15,9,274,15,9,274,15,9,239,0.053,,,,,False,,,,
M13,,,,,15,7,349,16,7,417,16,8,339,0.054,,,,,False,,,,
M14,,,,,16,10,237,16,9,303,15,9,274,0.054,,,,,False,,,,
M15,,,,,16,8,339,17,12,179,16,8,339,0.054,,,,,False,,,,
M16,,,,,16,7,417,15,9,239,16,9,303,0.053,,,,,False,,,,
M17,,,,,18,11,233,17,12,179,18,12,206,0.054,,,,,False,,,,
M18,,,,,15,8,310,15,7,390,15,7,349,0.053,,,,,False,,,,
M19,,,,,15,9,274,15,8,310,15,7,349,0.054,,,,,False,,,,
M2,,,,,16,9,303,15,9,239,15,8,310,0.054,,,,,False,,,,
M20,,,,,16,8,339,16,10,237,16,9,269,0.054,,,,,False,,,,
M21,,,,,15,5,530,15,7,349,15,9,239,0.054,,,,,False,,,,
M22,,,,,16,7,417,15,5,480,15,9,274,0.054,,,,,False,,,,
M23,,,,,15,7,349,14,10,173,15,6,434,0.054,,,,,False,,,,
M24,,,,,15,7,349,15,9,239,15,3,701,0.054,,,,,False,,,,
M3,,,,,15,7,349,15,10,206,15,7,349,0.054,,,,,False,,,,
M4,,,,,15,11,146,15,8,310,14,8,279,0.054,,,,,False,,,,
M5,,,,,16,9,303,15,9,274,15,8,310,0.054,,,,,False,,,,
M6,,,,,15,7,349,15,8,310,14,7,361,0.054,,,,,False,,,,
M7,,,,,15,8,310,14,8,279,15,7,390,0.053,,,,,False,,,,
M8,,,,,16,7,377,15,8,310,15,8,310,0.054,,,,,False,,,,
M9,,,,,15,8,310,15,7,390,16,10,237,0.054,,,,,False,,,,
N1,,,,,15,7,390,15,9,274,15,7,390,0.054,,,,,False,,,,
N10,,,,,15,7,349,15,7,390,16,9,269,0.054,,,,,False,,,,
N11,,,,,15,7,349,15,9,274,14,8,279,0.054,,,,,False,,,,
N12,,,,,15,8,310,15,8,310,15,8,310,0.053,,,,,False,,,,
N13,,,,,15,7,349,15,7,390,15,8,310,0.048,,,,,False,,,,
N14,,,,,16,9,269,15,9,274,15,9,239,0.053,,,,,False,,,,
N15,,,,,16,10,237,15,5,480,16,11,206,0.053,,,,,False,,,,
N16,,,,,15,7,349,16,9,269,15,7,349,0.053,,,,,False,,,,
N17,,,,,15,6,434,15,7,390,16,5,553,0.054,,,,,False,,,,
N18,,,,,15,10,206,16,10,237,16,10,237,0.054,,,,,False,,,,
N19,,,,,16,11,177,15,6,434,15,8,310,0.053,,,,,False,,,,
N2,,,,,15,8,310,15,9,239,15,6,434,0.053,,,,,False,,,,
N20,,,,,16,6,460,15,9,274,15,9,239,0.053,,,,,False,,,,
N21,,,,,15,6,434,15,7,390,15,9,239,0.053,,,,,False,,,,
N22,,,,,15,7,390,16,9,303,15,8,310,0.054,,,,,False,,,,
N23,,,,,16,10,237,16,7,417,15,7,349,0.054,,,,,False,,,,
N24,,,,,15,8,310,16,10,237,16,5,553,0.054,,,,,False,,,,
N3,,,,,14,7,361,15,10,206,15,9,274,0.053,,,,,False,,,,
N4,,,,,15,9,274,15,9,274,15,7,349,0.053,,,,,False,,,,
N5,,,,,15,8,310,15,7,349,14,7,318,0.053,,,,,False,,,,
N6,,,,,16,7,417,16,7,377,16,9,269,0.053,,,,,False,,,,
N7,,,,,16,9,269,16,7,377,15,8,310,0.053,,,,,False,,,,
N8,,,,,15,7,349,15,7,349,15,9,239,0.052,,,,,False,,,,
N9,,,,,15,7,390,16,7,377,16,9,303,0.054,,,,,False,,,,
O1,,,,,19,16,72,18,14,131,19,18,34,0.054,,,,,False,,,,
O10,,,,,14,7,318,15,9,274,14,9,206,0.054,,,,,False,,,,
O11,,,,,15,7,349,16,7,377,15,7,349,0.054,,,,,False,,,,
O12,,,,,14,8,279,15,8,310,16,10,237,0.053,,,,,False,,,,
O13,,,,,15,9,274,15,9,239,15,9,239,0.054,,,,,False,,,,
O14,,,,,15,8,310,15,10,206,15,9,239,0.053,,,,,False,,,,
O15,,,,,15,9,274,15,8,310,15,9,239,0.054,,,,,False,,,,
O16,,,,,15,7,349,15,7,390,15,8,310,0.053,,,,,False,,,,
O17,,,,,16,7,377,15,8,310,15,7,349,0.054,,,,,False,,,,
O18,,,,,15,7,390,15,6,434,15,7,390,0.053,,,,,False,,,,
O19,,,,,15,7,349,15,7,390,16,5,553,0.053,,,,,False,,,,
O2,,,,,15,9,239,15,9,239,15,10,206,0.053,,,,,False,,,,
O20,,,,,15,7,390,16,9,269,15,9,239,0.054,,,,,False,,,,
O21,,,,,15,7,390,15,8,310,16,7,417,0.054,,,,,False,,,,
O22,,,,,14,7,318,15,7,349,15,7,349,0.054,,,,,False,,,,
O23,,,,,15,9,274,14,7,361,15,9,274,0.054,,,,,False,,,,
O24,,,,,15,11,146,15,7,390,16,9,303,0.053,,,,,False,,,,
O3,,,,,15,7,349,15,8,310,15,9,274,0.053,,,,,False,,,,
O4,,,,,15,7,349,15,10,206,15,9,274,0.053,,,,,False,,,,
O5,,,,,15,7,349,15,8,310,15,9,274,0.053,,,,,False,,,,
O6,,,,,15,8,310,14,8,279,15,7,349,0.054,,,,,False,,,,
O7,,,,,15,7,349,15,8,310,15,7,390,0.053,,,,,False,,,,
O8,,,,,15,9,274,15,7,349,15,7,349,0.054,,,,,False,,,,
O9,,,,,15,8,310,15,8,310,14,8,279,0.054,,,,,False,,,,
P1,,,,,16,9,303,16,8,339,15,10,206,0.052,,,,,False,,,,
P10,,,,,15,7,349,16,9,303,15,8,310,0.054,,,,,False,,,,
P11,,,,,15,7,349,15,7,390,15,7,349,0.054,,,,,False,,,,
P12,,,,,15,7,349,16,9,269,14,9,206,0.054,,,,,False,,,,
P13,,,,,14,5,453,15,12,118,15,10,206,0.054,,,,,False,,,,
P14,,,,,16,8,339,16,7,417,16,8,339,0.053,,,,,False,,,,
P15,,,,,15,8,310,16,7,377,15,6,434,0.052,,,,,False,,,,
P16,,,,,15,11,175,15,10,206,15,10,206,0.054,,,,,False,,,,
P17,,,,,15,10,206,15,7,349,15,7,349,0.053,,,,,False,,,,
P18,,,,,15,7,349,16,7,417,15,5,480,0.052,,,,,False,,,,
P19,,,,,15,9,274,15,11,146,15,8,310,0.053,,,,,False,,,,
P2,,,,,16,8,339,15,13,91,15,5,480,0.053,,,,,False,,,,
P20,,,,,15,5,480,16,7,417,15,6,434,0.053,,,,,False,,,,
P21,,,,,15,8,310,15,9,239,15,10,206,0.054,,,,,False,,,,
P22,,,,,15,14,18,16,10,237,15,7,349,0.054,,,,,False,,,,
P23,,,,,16,7,417,16,8,339,14,8,279,0.054,,,,,False,,,,
P24,,,,,16,9,269,15,11,175,15,10,206,0.054,,,,,False,,,,
P3,,,,,16,9,269,16,9,303,15,10,206,0.053,,,,,False,,,,
P4,,,,,15,5,480,15,9,274,17,9,331,0.053,,,,,False,,,,
P5,,,,,15,9,239,15,9,239,15,7,349,0.054,,,,,False,,,,
P6,,,,,15,9,274,15,11,175,15,9,239,0.054,,,,,False,,,,
P7,,,,,16,9,303,15,8,310,15,9,239,0.054,,,,,False,,,,
P8,,,,,15,7,349,15,9,239,15,7,349,0.054,,,,,False,,,,
P9,,,,,15,7,390,15,7,390,15,9,274,0.052,,,,,False,,,,
